Time, a.x, a.y, a.z, g.x, g.y, g.z, m.x, m.y, m.z
16739, 0.51, -0.04, 1.01, 45.74, -24.32, -5.48, -0.02, 0.29, -0.38
16808, 0.72, 0.35, 0.65, -9.51, -4.32, 20.60, -0.03, 0.30, -0.37
16878, 0.79, -0.18, 0.80, 4.88, -12.00, -3.77, -0.04, 0.30, -0.37
16947, 0.70, -0.16, 0.87, 0.60, 2.74, -43.11, -0.04, 0.30, -0.36
17016, 0.51, 0.70, 1.05, -7.87, -1.58, 31.49, -0.05, 0.30, -0.36
17086, 0.52, -0.45, 0.72, 2.45, 38.68, -11.10, -0.03, 0.29, -0.38
17168, 0.18, -0.78, 0.95, 28.31, -14.41, -88.05, -0.03, 0.28, -0.38
17238, -0.18, -0.80, 1.21, -1.98, -11.42, -57.93, -0.04, 0.28, -0.39
17307, -0.37, -0.78, 1.56, 40.55, -56.30, -86.89, -0.04, 0.28, -0.39
17376, -0.41, -0.07, 1.09, -20.42, -1.89, -19.52, -0.05, 0.26, -0.39
17445, -0.37, 0.16, 0.81, -16.18, 31.25, 19.00, -0.05, 0.25, -0.39
17514, -0.12, -0.18, 0.78, 12.23, 14.92, 1.58, -0.04, 0.26, -0.40
17583, 0.10, -0.19, 0.96, 25.45, -5.15, -11.67, -0.03, 0.27, -0.39
17652, 0.36, 0.27, 0.73, -13.98, -17.74, 2.44, -0.03, 0.26, -0.39
17724, 0.49, 0.15, 1.02, 5.62, -37.07, -13.98, -0.04, 0.26, -0.38
17794, 0.37, -0.12, 1.28, 21.99, -45.01, -18.56, -0.06, 0.27, -0.37
17863, 0.23, 0.24, 1.19, 2.29, -22.73, 15.66, -0.06, 0.27, -0.36
17933, 0.14, 0.01, 0.89, -13.78, 14.93, -0.93, -0.06, 0.27, -0.36
18001, 0.07, -0.27, 0.95, -2.42, 7.95, -18.49, -0.06, 0.26, -0.36
18070, 0.06, -0.20, 0.78, -6.85, 14.45, -17.03, -0.06, 0.26, -0.37
18138, 0.07, 0.04, 0.96, -0.13, -7.25, 8.74, -0.06, 0.26, -0.37
18213, 0.08, 0.16, 0.93, -7.62, -1.01, 13.73, -0.06, 0.25, -0.37
18283, 0.08, -0.02, 1.05, -0.66, -10.53, 8.59, -0.05, 0.26, -0.37
18352, 0.09, -0.04, 1.02, 11.31, -6.97, 1.81, -0.06, 0.26, -0.36
18421, 0.10, 0.04, 0.88, 1.30, 2.45, 0.95, -0.06, 0.26, -0.36
18489, 0.07, 0.07, 0.93, -0.10, 2.27, 10.87, -0.06, 0.26, -0.37
18558, 0.07, -0.18, 0.99, 7.83, -5.81, -8.15, -0.06, 0.26, -0.36
18628, 0.09, 0.06, 0.95, 13.04, -4.75, 2.90, -0.06, 0.26, -0.36
18697, 0.08, -0.05, 0.92, -0.33, 1.58, 8.18, -0.06, 0.26, -0.36
18769, 0.09, -0.13, 0.95, -0.98, 0.96, -11.33, -0.06, 0.26, -0.37
18839, 0.09, 0.05, 0.96, -6.39, 1.14, 5.11, -0.06, 0.26, -0.36
18907, 0.08, -0.05, 0.98, 1.47, 2.77, -1.93, -0.06, 0.26, -0.37
18975, 0.08, -0.04, 0.94, -3.27, 1.22, -1.90, -0.06, 0.26, -0.36
19045, 0.10, 0.02, 0.95, 1.72, -2.04, 0.52, -0.05, 0.26, -0.37
19115, 0.08, 0.03, 0.94, -9.47, 12.13, 3.51, -0.05, 0.26, -0.38
19184, 0.10, -0.16, 0.99, 8.73, -5.43, -6.43, -0.05, 0.26, -0.37
19254, 0.09, -0.06, 0.97, 9.69, -2.83, 0.64, -0.05, 0.26, -0.36
19328, 0.10, -0.02, 0.95, 9.68, 1.15, -4.45, -0.06, 0.26, -0.37
19397, 0.11, -0.05, 0.91, 0.61, 4.02, -6.25, -0.05, 0.26, -0.37
19467, 0.13, -0.05, 0.91, 1.12, 0.27, 1.78, -0.05, 0.27, -0.36
19536, 0.10, -0.04, 1.00, 0.06, -1.12, -2.63, -0.06, 0.27, -0.36
19606, 0.09, -0.03, 0.98, 11.38, -9.73, 7.49, -0.05, 0.26, -0.37
19675, 0.11, 0.02, 0.92, -1.83, 1.66, 0.33, -0.05, 0.26, -0.37
19744, 0.10, 0.00, 0.96, 6.20, -2.58, 0.54, -0.05, 0.26, -0.36
19814, 0.09, -0.06, 1.01, 0.11, -4.39, 4.50, -0.05, 0.27, -0.35
19886, 0.12, -0.16, 1.00, 5.77, -1.13, -7.72, -0.05, 0.26, -0.36
19955, 0.11, 0.01, 0.96, 27.54, -5.42, 12.86, -0.05, 0.27, -0.37
20025, 0.14, -0.13, 0.98, 132.49, -8.04, -6.81, -0.06, 0.28, -0.37
